"","X.10lgP","Mass","ppm","m.z","RT","Start","End","diff_range"
"12420",16.88,590.3024,4.5,591.3123,8.16,0.9975,1.023,0.0254999999999999
"12421",16.88,544.2969,-2.3,545.3029,0.9,0.9619,0.9873,0.0254
"12422",16.88,546.2761,-35.2,547.2642,9.64,0.9558,0.9812,0.0254
"12423",16.88,546.2761,-35.2,547.2642,9.64,0.9558,0.9812,0.0254
"12424",16.87,601.3435,4.5,602.3535,8.37,1.0118,1.0373,0.0255000000000001
"12425",16.87,601.3435,4.5,602.3535,8.37,1.0118,1.0373,0.0255000000000001
"12426",16.87,583.3693,8.2,584.3814,3.19,0.9965,1.022,0.0255
"12427",16.87,583.3693,8.2,584.3814,3.19,0.9965,1.022,0.0255
"12428",16.87,833.4317,1.1,834.4399,10.81,1.22,1.2456,0.0256000000000001
"12429",16.86,732.3918,5.3,733.403,13.37,1.1362,1.1617,0.0254999999999999
"12430",16.86,534.2584,5.1,535.2684,4.71,0.9456,0.9711,0.0255
"12431",16.86,589.2708,26.1,590.2934,3.53,0.9873,1.0128,0.0255
"12432",16.86,570.2802,-3,571.2857,6.08,0.9863,1.0118,0.0255000000000001
"12433",16.86,1116.5411,-13.6,1117.5332,13.44,1.4065,1.4322,0.0256999999999998
"12434",16.86,912.5028,5.8,457.2613,4.17,0.7133,0.7386,0.0253
"12435",16.86,860.4068,3.9,861.4174,16.84,1.2282,1.2538,0.0256000000000001
"12436",16.86,702.3045,-8.5,703.3058,7.36,1.0373,1.0627,0.0253999999999999
"12437",16.86,658.365,4,659.3749,4.87,1.0658,1.0913,0.0254999999999999
"12438",16.86,1785.9062,1.8,596.3104,13.85,0.7386,0.7639,0.0253
"12439",16.85,616.318,15.9,617.3351,5.05,1.0179,1.0434,0.0255000000000001
"12440",16.85,1060.5302,7.5,531.2763,6.93,0.7396,0.7649,0.0253
"12441",16.85,516.2907,-9.2,517.2932,5.81,0.9344,0.9599,0.0255
"12442",16.85,516.2907,-9.2,517.2932,5.81,0.9344,0.9599,0.0255
"12443",16.85,1391.7231,23.3,464.9258,11.22,0.6728,0.6981,0.0253000000000001
"12444",16.85,840.4891,4.3,841.5001,15.01,1.2384,1.264,0.0256000000000001
"12445",16.84,1399.6877,-6.7,700.8464,8.55,0.8755,0.9009,0.0254000000000001
"12446",16.83,1554.9133,-5,519.3091,13.73,0.7477,0.773,0.0253
"12447",16.83,1343.6761,-2.9,672.8434,15.68,0.8664,0.8918,0.0254000000000001
"12448",16.83,545.2921,-7.9,546.2951,7.22,0.9599,0.9853,0.0254
"12449",16.82,1017.509,-2.6,1018.5137,7.61,1.3552,1.3809,0.0257000000000001
"12450",16.82,458.2489,31.9,459.2708,3.07,0.8755,0.9009,0.0254000000000001
"12451",16.82,550.2751,2.6,551.2838,2.16,0.9589,0.9843,0.0254
"12452",16.82,531.3016,-2.8,532.3074,3.1,0.9405,0.966,0.0255
"12453",16.81,700.4119,0.2,701.4193,12.48,1.1076,1.1331,0.0255000000000001
"12454",16.81,700.4119,0.2,701.4193,12.48,1.1076,1.1331,0.0255000000000001
"12455",16.81,832.4119,-1.3,833.4181,15.58,1.2221,1.2476,0.0255000000000001
"12456",16.81,601.3435,4.6,602.3536,0.9,1.0118,1.0373,0.0255000000000001
"12457",16.81,601.3435,4.6,602.3536,0.9,1.0118,1.0373,0.0255000000000001
"12458",16.81,594.2761,-5.8,595.28,3.69,0.9833,1.0087,0.0254
"12459",16.8,615.3591,-10.1,616.3602,6.81,1.025,1.0505,0.0255000000000001
"12460",16.8,615.3591,-10.1,616.3602,6.81,1.025,1.0505,0.0255000000000001
"12461",16.8,556.2969,-13.7,557.2965,1.94,0.9589,0.9843,0.0254
"12462",16.8,587.3027,0.5,588.3103,7.25,0.9975,1.023,0.0254999999999999
"12463",16.8,577.2708,30.3,578.2955,2.55,0.9884,1.0138,0.0254000000000001
"12464",16.8,771.4127,22.5,772.4373,7.57,1.1709,1.1965,0.0255999999999998
"12465",16.8,571.3442,4.4,572.3539,9.32,0.9894,1.0148,0.0254
"12466",16.8,571.3442,4.4,572.3539,9.32,0.9894,1.0148,0.0254
"12467",16.8,944.5443,2.2,945.5536,13.05,1.3316,1.3573,0.0257000000000001
"12468",16.8,562.2347,-2.2,563.2407,8.3,0.9456,0.9711,0.0255
"12469",16.79,697.3871,-0.5,698.394,2.07,1.1015,1.127,0.0255000000000001
"12470",16.79,697.3871,-0.5,698.394,2.07,1.1015,1.127,0.0255000000000001
"12471",16.79,1733.9135,-14.2,867.9517,15.54,0.9792,1.0047,0.0255
"12472",16.78,576.2867,24.8,577.3083,7.36,0.9833,1.0087,0.0254
"12473",16.78,729.4272,-2.1,730.433,12.68,1.1331,1.1587,0.0256000000000001
"12474",16.78,729.4272,-2.1,730.433,12.68,1.1331,1.1587,0.0256000000000001
"12475",16.78,559.3078,0.4,560.3153,8.89,0.9741,0.9996,0.0255000000000001
"12476",16.78,600.3231,-1.3,601.3296,3.25,1.0108,1.0362,0.0254000000000001
"12477",16.78,600.3231,-1.3,601.3296,3.25,1.0108,1.0362,0.0254000000000001
"12478",16.78,950.4498,6.3,951.4631,14.81,1.3091,1.3347,0.0256000000000001
"12479",16.77,765.3657,9.6,766.3803,11.77,1.1577,1.1832,0.0255000000000001
"12480",16.77,576.3054,-3.5,577.3106,4.3,0.9873,1.0128,0.0255
"12481",16.77,792.4745,-2.7,793.4796,10.22,1.1914,1.2169,0.0255000000000001
"12482",16.77,716.4069,-11.9,717.4056,8.27,1.1066,1.1321,0.0255000000000001
"12483",16.77,672.3806,5,673.3912,10.6,1.077,1.1025,0.0255000000000001
"12484",16.76,1361.7013,-0.5,681.8576,14.58,0.8511,0.8765,0.0254
"12485",16.76,634.3074,14.2,635.3237,6.29,1.0332,1.0587,0.0255000000000001
"12486",16.76,958.5083,10.2,480.2663,2.41,0.7062,0.7315,0.0253
"12487",16.76,592.2526,-1.8,593.2589,2.64,0.9843,1.0097,0.0254000000000001
"12488",16.76,899.5188,4.7,450.7688,6.04,0.7062,0.7315,0.0253
"12489",16.75,574.3074,-21,575.3027,10.15,0.9914,1.0169,0.0255
"12490",16.75,1169.6404,-9.5,1170.6366,12.68,1.4836,1.5094,0.0258
"12491",16.75,684.417,-12.1,685.416,7.79,1.0821,1.1076,0.0254999999999999
"12492",16.75,748.3391,0.2,749.3466,9.3,1.1403,1.1658,0.0254999999999999
"12493",16.74,573.3122,23.1,574.3327,2.21,0.9884,1.0138,0.0254000000000001
"12494",16.74,573.3122,23.1,574.3327,2.21,0.9884,1.0138,0.0254000000000001
"12495",16.74,795.3762,-3.5,796.3807,6.74,1.1628,1.1883,0.0254999999999999
"12496",16.74,795.3762,-3.5,796.3807,6.74,1.1628,1.1883,0.0254999999999999
"12497",16.74,544.2856,25.2,545.3066,2.91,0.9578,0.9833,0.0255
"12498",16.74,842.4861,-2.9,843.491,16.25,1.2354,1.2609,0.0254999999999999
"12499",16.74,870.3541,0.4,871.3618,9.48,1.2088,1.2343,0.0254999999999999
"12500",16.74,666.3224,-5.5,667.326,5.81,1.074,1.0995,0.0254999999999999
"12501",16.74,666.3224,-5.5,667.326,5.81,1.074,1.0995,0.0254999999999999
"12502",16.74,878.4498,8.6,879.4646,9.42,1.2364,1.262,0.0256000000000001
"12503",16.74,575.3279,3.4,576.3371,5.81,0.9884,1.0138,0.0254000000000001
"12504",16.74,515.2816,1.9,516.2898,4.76,0.9131,0.9385,0.0254
"12505",16.73,518.2635,13.5,519.2778,3.39,0.9375,0.9629,0.0254
"12506",16.73,683.3966,-0.1,684.4038,6.2,1.0872,1.1127,0.0255000000000001
"12507",16.73,683.3966,-0.1,684.4038,6.2,1.0872,1.1127,0.0255000000000001
"12508",16.73,631.3289,-34.8,632.3142,2.23,1.022,1.0474,0.0254000000000001
"12509",16.73,631.3289,-34.8,632.3142,2.23,1.022,1.0474,0.0254000000000001
"12510",16.73,835.3858,0.6,836.3936,12.34,1.1873,1.2129,0.0256000000000001
"12511",16.73,764.3704,-0.7,765.3771,15.29,1.1393,1.1648,0.0255000000000001
"12512",16.72,1161.6394,3.6,1162.6509,15.79,1.4569,1.4826,0.0256999999999998
